q0: BBBBB101001010111 #101000101 $000000000000000000000BBBBB
q1: BBBBB101001010111 #10100010X $000000000101001010111BBBBB
q2: BBBBB101001010111 #1010001XX $000000000101001010111BBBBB
q3: BBBBB101001010111 #101000XXX $000000011001110110011BBBBB
q4: BBBBB101001010111 #10100XXXX $000000011001110110011BBBBB
q5: BBBBB101001010111 #1010XXXXX $000000011001110110011BBBBB
q6: BBBBB101001010111 #101XXXXXX $000000011001110110011BBBBB
q7: BBBBB101001010111 #10XXXXXXX $000101100100101110011BBBBB
q8: BBBBB101001010111 #1XXXXXXXX $000101100100101110011BBBBB
q9: BBBBB101001010111 #XXXXXXXXX $011010010000001110011BBBBB
